Team,Date,Score,Turnovers,Blocks,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Away Score,Home Score,Points/Total
Legion,6/25/2021,DAL 21 - 16 LA,18,7,0.94,0.71,0.72,0.57,0.35,0.5,0.76,21,16,0.568
Phoenix,6/25/2021,PHI 11 - 23 RAL,32,9,0.89,0.3,0.36,0.24,0.17,0.4,0.4,11,23,0.324
Sol,6/25/2021,AUS 24 - 28 SEA,22,9,0.93,0.55,0.6,0.56,0.23,0.43,0.88,24,28,0.538
AlleyCats,6/26/2021,CHI 28 - 20 IND,17,7,0.95,0.73,0.6,0.56,0.09,0.4,0.5,28,20,0.417
Cannons,6/26/2021,TB 18 - 24 NY,22,7,0.92,0.47,0.69,0.49,0.0,0.0,0.71,18,24,0.429
Empire,6/26/2021,TB 18 - 24 NY,15,7,0.94,0.57,0.8,0.73,0.31,0.42,0.89,18,24,0.571
Growlers,6/26/2021,DAL 20 - 21 SD,11,2,0.95,0.83,0.77,0.63,0.17,0.67,0.81,20,21,0.512
Hustle,6/26/2021,PHI 17 - 24 ATL,13,14,0.95,0.67,0.83,0.71,0.36,0.53,1.0,17,24,0.585
Legion,6/26/2021,DAL 20 - 21 SD,13,5,0.96,0.25,0.74,0.68,0.14,0.38,0.93,20,21,0.488
Mechanix,6/26/2021,DET 17 - 29 MIN,26,8,0.9,0.57,0.48,0.39,0.11,0.25,0.75,17,29,0.37
Phoenix,6/26/2021,PHI 17 - 24 ATL,21,4,0.93,0.47,0.6,0.47,0.11,0.33,0.9,17,24,0.415
Sol,6/26/2021,AUS 23 - 28 SJ,23,13,0.93,0.5,0.63,0.56,0.16,0.33,0.74,23,28,0.549
Spiders,6/26/2021,AUS 23 - 28 SJ,17,14,0.92,0.6,0.8,0.61,0.27,0.67,0.83,23,28,0.549
Union,6/26/2021,CHI 28 - 20 IND,7,8,0.97,0.8,0.73,0.67,0.37,0.85,1.0,28,20,0.583
Wind Chill,6/26/2021,DET 17 - 29 MIN,16,13,0.95,0.57,0.84,0.67,0.42,0.59,0.81,17,29,0.63
Mechanix,6/27/2021,DET 18 - 29 MAD,21,5,0.94,0.55,0.52,0.46,0.1,0.33,0.71,18,29,0.383
Radicals,6/27/2021,DET 18 - 29 MAD,11,8,0.96,0.75,0.85,0.71,0.39,0.71,0.9,18,29,0.617
Breeze,7/2/2021,NY 17 - 20 DC,16,13,0.95,0.5,0.79,0.63,0.23,0.38,0.74,17,20,0.541
Cascades,7/2/2021,SEA 16 - 23 AUS,27,8,0.87,0.42,0.44,0.35,0.28,0.42,0.57,16,23,0.41
Empire,7/2/2021,NY 17 - 20 DC,20,9,0.92,0.5,0.68,0.52,0.11,0.25,0.87,17,20,0.459
