Team,Date,Score,Turnovers,Blocks,Completion%,Huck%,Hold%,OLC%,Break%,DLC%,RZC%,Away Score,Home Score,Points/Total
Spiders,6/11/2022,COL 29 - 24 OAK,16,4,0.94,0.58,0.67,0.65,0.15,0.44,0.86,29,24,0.453
Summit,6/11/2022,COL 29 - 24 OAK,11,9,0.95,0.69,0.77,0.65,0.3,0.82,0.86,29,24,0.547
Thunderbirds,6/11/2022,PIT 14 - 20 MIN,26,8,0.91,0.45,0.45,0.3,0.25,0.44,0.5,14,20,0.412
Wind Chill,6/11/2022,PIT 14 - 20 MIN,21,12,0.92,0.56,0.63,0.5,0.45,0.45,0.7,14,20,0.588
Cascades,6/17/2022,SEA 19 - 20 OAK,25,10,0.93,0.44,0.65,0.47,0.2,0.33,0.86,19,20,0.487
Flyers,6/17/2022,CAR 22 - 18 ATL,13,11,0.96,0.77,0.75,0.54,0.3,0.88,0.81,22,18,0.55
Glory,6/17/2022,OTT 18 - 19 BOS,24,11,0.91,0.56,0.68,0.48,0.3,0.35,0.65,18,19,0.514
Hustle,6/17/2022,CAR 22 - 18 ATL,16,6,0.94,0.9,0.7,0.67,0.1,0.2,0.77,22,18,0.45
Outlaws,6/17/2022,OTT 18 - 19 BOS,24,14,0.91,0.5,0.7,0.45,0.21,0.33,0.87,18,19,0.486
Phoenix,6/17/2022,TOR 14 - 18 PHI,21,15,0.92,0.61,0.75,0.44,0.3,0.46,0.9,14,18,0.563
Rush,6/17/2022,TOR 14 - 18 PHI,26,11,0.9,0.33,0.6,0.46,0.06,0.08,0.6,14,18,0.438
Sol,6/17/2022,ATX 21 - 24 CHI,19,9,0.93,0.63,0.62,0.55,0.22,0.42,0.78,21,24,0.467
Spiders,6/17/2022,SEA 19 - 20 OAK,25,10,0.91,0.73,0.65,0.45,0.3,0.44,0.6,19,20,0.513
Union,6/17/2022,ATX 21 - 24 CHI,15,10,0.93,0.77,0.74,0.59,0.27,0.64,0.72,21,24,0.533
Aviators,6/18/2022,SD 20 - 19 LA,15,6,0.95,0.7,0.85,0.59,0.1,0.33,0.75,20,19,0.487
Breeze,6/18/2022,TOR 16 - 26 DC,19,19,0.94,0.62,0.78,0.58,0.39,0.5,0.73,16,26,0.619
Cascades,6/18/2022,SEA 14 - 22 COL,25,6,0.9,0.42,0.5,0.35,0.13,0.4,0.45,14,22,0.389
Empire,6/18/2022,OTT 15 - 21 NY,17,11,0.94,0.71,0.76,0.54,0.35,0.53,0.71,15,21,0.583
Growlers,6/18/2022,SD 20 - 19 LA,15,10,0.95,0.9,0.86,0.75,0.1,0.18,0.64,20,19,0.513
Mechanix,6/18/2022,DET 21 - 24 PIT,25,10,0.91,0.71,0.63,0.45,0.26,0.46,0.85,21,24,0.467
Outlaws,6/18/2022,OTT 15 - 21 NY,22,9,0.91,0.5,0.57,0.43,0.12,0.2,0.67,15,21,0.417
Radicals,6/18/2022,ATX 19 - 18 MAD,17,5,0.92,0.83,0.6,0.5,0.3,0.5,0.73,19,18,0.486
Rush,6/18/2022,TOR 16 - 26 DC,30,13,0.89,0.33,0.5,0.37,0.11,0.25,0.67,16,26,0.381
Sol,6/18/2022,ATX 19 - 18 MAD,17,7,0.95,0.56,0.7,0.54,0.25,0.5,0.79,19,18,0.514
Summit,6/18/2022,SEA 14 - 22 COL,16,14,0.94,0.63,0.8,0.67,0.42,0.48,0.74,14,22,0.611
Thunderbirds,6/18/2022,DET 21 - 24 PIT,24,16,0.91,0.5,0.7,0.52,0.29,0.44,0.7,21,24,0.533
Growlers,6/24/2022,SD 18 - 23 SLC,31,10,0.9,0.56,0.56,0.37,0.2,0.36,0.8,18,23,0.439
Shred,6/24/2022,SD 18 - 23 SLC,24,12,0.89,0.76,0.65,0.5,0.4,0.43,0.69,18,23,0.561
AlleyCats,6/25/2022,CHI 24 - 23 IND,14,8,0.95,0.69,0.62,0.57,0.29,0.78,0.71,24,23,0.489
Cannons,6/25/2022,CAR 23 - 15 TB,29,14,0.88,1.0,0.52,0.36,0.12,0.22,0.63,23,15,0.395
Cascades,6/25/2022,OAK 22 - 17 SEA,26,13,0.88,0.47,0.61,0.47,0.16,0.23,0.64,22,17,0.436
Flyers,6/25/2022,CAR 23 - 15 TB,22,10,0.91,0.56,0.76,0.54,0.4,0.48,0.77,23,15,0.605
Glory,6/25/2022,BOS 23 - 25 TOR,18,8,0.92,0.83,0.74,0.65,0.12,0.27,0.8,23,25,0.479
Growlers,6/25/2022,SD 21 - 27 COL,18,6,0.94,0.57,0.66,0.53,0.09,0.67,0.86,21,27,0.438
Legion,6/25/2022,DAL 20 - 26 ATX,20,4,0.9,0.68,0.57,0.48,0.19,0.57,0.8,20,26,0.435
Radicals,6/25/2022,MAD 11 - 22 MIN,42,10,0.82,0.36,0.35,0.21,0.23,0.2,0.39,11,22,0.333
Rush,6/25/2022,BOS 23 - 25 TOR,15,9,0.95,0.8,0.8,0.61,0.19,0.56,0.69,23,25,0.521
Sol,6/25/2022,DAL 20 - 26 ATX,14,10,0.95,0.5,0.71,0.63,0.39,0.69,0.89,20,26,0.565
Spiders,6/25/2022,OAK 22 - 17 SEA,20,9,0.93,0.67,0.79,0.52,0.3,0.5,0.77,22,17,0.564
Summit,6/25/2022,SD 21 - 27 COL,12,8,0.96,0.64,0.83,0.79,0.28,0.53,0.88,21,27,0.563
Union,6/25/2022,CHI 24 - 23 IND,11,5,0.96,0.67,0.63,0.58,0.35,0.82,0.81,24,23,0.511
Wind Chill,6/25/2022,MAD 11 - 22 MIN,31,16,0.91,0.4,0.69,0.38,0.52,0.41,0.79,11,22,0.667
Nitro,6/26/2022,OAK 36 - 21 POR,28,8,0.89,1.0,0.51,0.44,0.09,0.33,0.75,36,21,0.368
Spiders,6/26/2022,OAK 36 - 21 POR,12,13,0.97,0.79,0.91,0.78,0.39,0.71,1.0,36,21,0.632
Empire,7/1/2022,MTL 14 - 29 NY,13,13,0.95,0.55,0.81,0.65,0.52,0.73,1.0,14,29,0.674
Royal,7/1/2022,MTL 14 - 29 NY,26,5,0.9,0.56,0.39,0.32,0.13,0.33,0.64,14,29,0.326
Union,7/1/2022,MIN 25 - 22 CHI,16,7,0.95,0.73,0.77,0.65,0.08,0.29,0.88,25,22,0.468
Wind Chill,7/1/2022,MIN 25 - 22 CHI,13,9,0.95,0.43,0.83,0.71,0.19,0.5,0.95,25,22,0.532
AlleyCats,7/2/2022,PIT 26 - 28 IND,12,7,0.96,0.8,0.71,0.67,0.27,0.73,0.85,26,28,0.519
Aviators,7/2/2022,LA 15 - 24 COL,20,4,0.93,0.64,0.48,0.4,0.19,0.6,0.59,15,24,0.385
Breeze,7/2/2022,DC 22 - 21 PHI,14,8,0.96,0.86,0.7,0.64,0.26,0.55,0.79,22,21,0.512
Flyers,7/2/2022,ATL 16 - 18 CAR,18,9,0.95,0.5,0.83,0.6,0.16,0.25,0.69,16,18,0.529
Glory,7/2/2022,MTL 16 - 23 BOS,20,12,0.93,0.47,0.67,0.55,0.44,0.5,0.81,16,23,0.59
Hustle,7/2/2022,ATL 16 - 18 CAR,19,10,0.91,0.57,0.74,0.54,0.11,0.22,0.58,16,18,0.471
Legion,7/2/2022,ATX 26 - 16 DAL,28,9,0.87,0.57,0.54,0.42,0.06,0.13,0.57,26,16,0.381
Mechanix,7/2/2022,MIN 33 - 19 DET,27,9,0.89,0.63,0.55,0.45,0.05,0.14,0.62,33,19,0.365
Outlaws,7/2/2022,TOR 21 - 20 OTT,28,14,0.88,0.54,0.64,0.48,0.23,0.26,0.64,21,20,0.488
Phoenix,7/2/2022,DC 22 - 21 PHI,15,5,0.94,0.44,0.65,0.54,0.26,0.67,0.85,22,21,0.488
Royal,7/2/2022,MTL 16 - 23 BOS,25,12,0.9,0.6,0.4,0.3,0.33,0.6,0.62,16,23,0.41
Rush,7/2/2022,TOR 21 - 20 OTT,28,12,0.87,0.7,0.68,0.42,0.27,0.4,0.4,21,20,0.512
Sol,7/2/2022,ATX 26 - 16 DAL,17,11,0.94,0.69,0.83,0.6,0.39,0.58,0.9,26,16,0.619
Summit,7/2/2022,LA 15 - 24 COL,10,9,0.96,0.64,0.81,0.72,0.44,0.65,0.78,15,24,0.615
Thunderbirds,7/2/2022,PIT 26 - 28 IND,14,4,0.95,0.86,0.63,0.61,0.25,0.78,0.83,26,28,0.481
Wind Chill,7/2/2022,MIN 33 - 19 DET,14,13,0.94,0.82,0.9,0.7,0.42,0.67,0.94,33,19,0.635
Outlaws,7/7/2022,OTT 23 - 20 MTL,11,6,0.96,0.71,0.82,0.72,0.22,0.5,0.88,23,20,0.535
Royal,7/7/2022,OTT 23 - 20 MTL,13,6,0.94,0.9,0.71,0.63,0.14,0.5,0.64,23,20,0.465
Breeze,7/8/2022,PHI 24 - 25 DC,14,6,0.95,0.58,0.72,0.56,0.26,0.88,0.84,24,25,0.51
Cascades,7/8/2022,SLC 25 - 24 SEA,26,15,0.91,0.5,0.67,0.49,0.23,0.46,0.92,25,24,0.49
Hustle,7/8/2022,ATL 17 - 14 DAL,17,13,0.93,0.44,0.71,0.48,0.26,0.42,0.71,17,14,0.548
Legion,7/8/2022,ATL 17 - 14 DAL,22,10,0.93,0.57,0.58,0.44,0.18,0.27,0.73,17,14,0.452
Phoenix,7/8/2022,PHI 24 - 25 DC,16,8,0.95,0.73,0.7,0.68,0.2,0.42,0.89,24,25,0.49
Shred,7/8/2022,SLC 25 - 24 SEA,23,13,0.91,0.67,0.73,0.58,0.22,0.35,0.78,25,24,0.51
AlleyCats,7/9/2022,IND 15 - 23 CHI,24,7,0.9,0.71,0.43,0.34,0.29,0.45,0.56,15,23,0.395
Cannons,7/9/2022,TB 11 - 20 CAR,29,10,0.87,0.46,0.41,0.28,0.15,0.25,0.6,11,20,0.355
Empire,7/9/2022,BOS 18 - 32 NY,9,14,0.97,1.0,0.8,0.7,0.47,0.89,0.9,18,32,0.64
Flyers,7/9/2022,TB 11 - 20 CAR,18,13,0.93,0.13,0.77,0.56,0.45,0.48,0.83,11,20,0.645
Glory,7/9/2022,BOS 18 - 32 NY,24,5,0.9,0.6,0.44,0.42,0.15,0.5,0.64,18,32,0.36
Hustle,7/9/2022,ATL 17 - 18 ATX,17,11,0.9,0.64,0.6,0.48,0.28,0.45,0.69,17,18,0.486
Mechanix,7/9/2022,DET 19 - 22 PIT,18,6,0.93,0.91,0.54,0.46,0.29,0.6,0.58,19,22,0.463
Nitro,7/9/2022,SLC 28 - 14 POR,33,11,0.89,0.53,0.45,0.33,0.06,0.14,0.53,28,14,0.333
Shred,7/9/2022,SLC 28 - 14 POR,19,23,0.92,0.63,0.81,0.62,0.52,0.56,0.78,28,14,0.667
Sol,7/9/2022,ATL 17 - 18 ATX,16,8,0.95,0.7,0.67,0.52,0.3,0.55,0.64,17,18,0.514
Thunderbirds,7/9/2022,DET 19 - 22 PIT,16,9,0.94,0.64,0.62,0.54,0.38,0.64,0.75,19,22,0.537
Union,7/9/2022,IND 15 - 23 CHI,17,10,0.93,0.71,0.65,0.48,0.52,0.67,0.86,15,23,0.605
Radicals,7/10/2022,MIN 18 - 21 MAD,15,10,0.94,0.6,0.8,0.67,0.23,0.42,0.72,18,21,0.538
Wind Chill,7/10/2022,MIN 18 - 21 MAD,19,8,0.94,0.42,0.64,0.48,0.2,0.5,0.75,18,21,0.462
AlleyCats,7/15/2022,IND 19 - 17 MAD,12,8,0.96,0.63,0.63,0.57,0.37,0.78,0.71,19,17,0.528
Breeze,7/15/2022,DC 24 - 14 MTL,10,12,0.96,0.69,0.88,0.7,0.4,0.67,0.95,24,14,0.632
Growlers,7/15/2022,COL 20 - 23 SD,11,11,0.96,0.73,0.82,0.67,0.21,0.63,0.92,20,23,0.535
Radicals,7/15/2022,IND 19 - 17 MAD,14,7,0.94,0.5,0.58,0.52,0.32,0.6,0.76,19,17,0.472
Royal,7/15/2022,DC 24 - 14 MTL,21,2,0.92,0.36,0.48,0.41,0.13,0.33,0.83,24,14,0.368
Summit,7/15/2022,COL 20 - 23 SD,14,8,0.95,0.77,0.75,0.67,0.09,0.29,0.65,20,23,0.465
Aviators,7/16/2022,COL 27 - 21 LA,20,11,0.93,0.75,0.62,0.53,0.14,0.43,0.83,27,21,0.438
Breeze,7/16/2022,DC 24 - 17 OTT,17,14,0.94,0.5,0.84,0.62,0.31,0.5,0.83,24,17,0.585
Cannons,7/16/2022,ATL 26 - 17 TB,21,5,0.9,0.67,0.56,0.44,0.11,0.67,0.82,26,17,0.395
Flyers,7/16/2022,CAR 27 - 22 PIT,8,10,0.97,0.8,0.88,0.84,0.21,0.6,0.93,27,22,0.551
Hustle,7/16/2022,ATL 26 - 17 TB,10,7,0.96,0.86,0.83,0.79,0.39,0.55,0.94,26,17,0.605
Legion,7/16/2022,DAL 22 - 26 ATX,22,11,0.92,0.43,0.63,0.5,0.21,0.5,0.8,22,26,0.458
Mechanix,7/16/2022,MAD 25 - 18 DET,20,2,0.93,0.5,0.48,0.45,0.26,0.56,0.86,25,18,0.419
Outlaws,7/16/2022,DC 24 - 17 OTT,24,7,0.91,0.43,0.62,0.48,0.05,0.13,0.79,24,17,0.415
Phoenix,7/16/2022,PHI 25 - 23 TOR,17,8,0.94,0.62,0.72,0.58,0.23,0.55,0.76,25,23,0.521
Radicals,7/16/2022,MAD 25 - 18 DET,11,12,0.96,0.71,0.74,0.61,0.41,0.85,0.86,25,18,0.581
Rush,7/16/2022,PHI 25 - 23 TOR,18,7,0.93,0.68,0.77,0.65,0.12,0.27,0.92,25,23,0.479
Shred,7/16/2022,SLC 22 - 19 OAK,24,13,0.91,0.5,0.71,0.5,0.29,0.41,0.88,22,19,0.537
Sol,7/16/2022,DAL 22 - 26 ATX,18,12,0.94,0.58,0.75,0.62,0.3,0.53,0.82,22,26,0.542
Spiders,7/16/2022,SLC 22 - 19 OAK,27,16,0.92,0.67,0.58,0.42,0.24,0.36,0.77,22,19,0.463
Summit,7/16/2022,COL 27 - 21 LA,14,11,0.95,0.69,0.86,0.73,0.28,0.53,0.9,27,21,0.563
Thunderbirds,7/16/2022,CAR 27 - 22 PIT,13,5,0.96,0.62,0.72,0.64,0.04,0.33,1.0,27,22,0.449
Union,7/16/2022,CHI 27 - 25 MIN,13,5,0.95,0.83,0.81,0.76,0.17,0.45,0.89,27,25,0.519
Wind Chill,7/16/2022,CHI 27 - 25 MIN,14,7,0.94,0.69,0.72,0.62,0.15,0.67,0.94,27,25,0.481
Aviators,7/22/2022,LA 16 - 19 SLC,23,8,0.91,0.45,0.62,0.42,0.18,0.33,0.73,16,19,0.457
Empire,7/22/2022,NY 24 - 19 PHI,15,11,0.95,0.63,0.81,0.74,0.23,0.4,0.82,24,19,0.558
Hustle,7/22/2022,DAL 20 - 27 ATL,10,14,0.96,0.92,0.82,0.72,0.31,0.64,0.78,20,27,0.574
Legion,7/22/2022,DAL 20 - 27 ATL,19,6,0.93,0.56,0.59,0.52,0.14,0.5,0.71,20,27,0.426
Phoenix,7/22/2022,NY 24 - 19 PHI,21,10,0.91,0.58,0.65,0.49,0.1,0.33,0.75,24,19,0.442
Shred,7/22/2022,LA 16 - 19 SLC,19,11,0.93,0.82,0.82,0.61,0.24,0.29,0.6,16,19,0.543
AlleyCats,7/23/2022,MIN 24 - 21 IND,17,7,0.94,0.5,0.65,0.52,0.17,0.8,0.75,24,21,0.467
Aviators,7/23/2022,LA 18 - 22 OAK,21,7,0.93,0.71,0.58,0.45,0.21,0.5,0.61,18,22,0.45
Breeze,7/23/2022,DC 23 - 21 BOS,23,17,0.93,0.5,0.74,0.5,0.24,0.46,0.68,23,21,0.523
Cannons,7/23/2022,DAL 15 - 17 TB,20,13,0.93,0.6,0.59,0.43,0.39,0.47,0.75,15,17,0.531
Cascades,7/23/2022,SD 22 - 18 SEA,22,9,0.92,0.41,0.57,0.42,0.26,0.56,0.75,22,18,0.45
Glory,7/23/2022,DC 23 - 21 BOS,27,11,0.9,0.33,0.64,0.52,0.22,0.29,0.81,23,21,0.477
Growlers,7/23/2022,SD 22 - 18 SEA,17,10,0.95,0.8,0.74,0.61,0.35,0.5,0.88,22,18,0.55
Legion,7/23/2022,DAL 15 - 17 TB,21,10,0.88,0.79,0.56,0.4,0.29,0.45,0.73,15,17,0.469
Spiders,7/23/2022,LA 18 - 22 OAK,17,12,0.94,0.64,0.68,0.57,0.38,0.53,0.86,18,22,0.55
Thunderbirds,7/23/2022,CHI 25 - 17 PIT,17,6,0.93,0.75,0.52,0.44,0.16,0.75,0.54,25,17,0.405
Union,7/23/2022,CHI 25 - 17 PIT,10,6,0.96,0.75,0.79,0.79,0.37,0.63,0.87,25,17,0.595
Wind Chill,7/23/2022,MIN 24 - 21 IND,13,10,0.95,0.64,0.74,0.71,0.27,0.5,0.89,24,21,0.533
Growlers,7/24/2022,SD 23 - 18 POR,21,11,0.92,0.55,0.89,0.64,0.28,0.37,0.9,23,18,0.561
Nitro,7/24/2022,SD 23 - 18 POR,26,7,0.91,0.6,0.6,0.42,0.11,0.22,0.47,23,18,0.439
Aviators,7/29/2022,OAK 24 - 25 LA,16,3,0.95,0.5,0.69,0.62,0.26,0.54,0.96,24,25,0.51
Breeze,7/29/2022,OTT 17 - 24 DC,12,11,0.96,0.63,0.84,0.76,0.31,0.47,0.86,17,24,0.585
Cannons,7/29/2022,TB 10 - 30 ATX,43,10,0.76,0.67,0.26,0.18,0.17,0.25,0.55,10,30,0.25
Nitro,7/29/2022,POR 16 - 32 SLC,38,5,0.88,0.53,0.47,0.32,0.0,0.0,0.86,16,32,0.333
Outlaws,7/29/2022,OTT 17 - 24 DC,19,6,0.92,0.75,0.54,0.42,0.16,0.6,0.53,17,24,0.415
Radicals,7/29/2022,CHI 21 - 15 MAD,22,13,0.89,0.64,0.55,0.4,0.12,0.33,0.67,21,15,0.417
Shred,7/29/2022,POR 16 - 32 SLC,22,18,0.93,0.71,0.89,0.7,0.47,0.48,0.63,16,32,0.667
Sol,7/29/2022,TB 10 - 30 ATX,23,20,0.92,0.53,0.67,0.47,0.71,0.61,0.85,10,30,0.75
Spiders,7/29/2022,OAK 24 - 25 LA,16,5,0.95,0.6,0.7,0.59,0.19,0.63,0.78,24,25,0.49
Union,7/29/2022,CHI 21 - 15 MAD,18,9,0.95,0.0,0.82,0.67,0.32,0.39,0.9,21,15,0.583
AlleyCats,7/30/2022,IND 21 - 23 ATL,17,6,0.94,0.56,0.56,0.5,0.32,0.64,0.75,21,23,0.477
Cannons,7/30/2022,TB 16 - 24 DAL,29,6,0.88,1.0,0.44,0.31,0.28,0.5,0.6,16,24,0.4
Growlers,7/30/2022,OAK 18 - 24 SD,10,9,0.96,0.75,0.8,0.8,0.31,0.53,0.89,18,24,0.571
Hustle,7/30/2022,IND 21 - 23 ATL,14,12,0.95,0.73,0.59,0.52,0.4,0.71,0.76,21,23,0.523
Legion,7/30/2022,TB 16 - 24 DAL,21,12,0.89,0.63,0.72,0.57,0.46,0.5,0.79,16,24,0.6
Mechanix,7/30/2022,DET 18 - 33 CHI,24,3,0.91,0.64,0.49,0.44,0.05,0.33,0.77,18,33,0.353
Nitro,7/30/2022,POR 18 - 34 COL,24,4,0.92,0.56,0.49,0.44,0.05,0.25,0.67,18,34,0.346
Outlaws,7/30/2022,OTT 19 - 25 PHI,20,9,0.93,0.75,0.67,0.56,0.05,0.13,0.82,19,25,0.432
Phoenix,7/30/2022,OTT 19 - 25 PHI,15,8,0.94,0.69,0.86,0.64,0.26,0.58,0.93,19,25,0.568
Spiders,7/30/2022,OAK 18 - 24 SD,16,3,0.95,0.4,0.54,0.47,0.2,1.0,0.82,18,24,0.429
Summit,7/30/2022,POR 18 - 34 COL,8,13,0.97,1.0,0.85,0.74,0.49,0.81,0.88,18,34,0.654
Union,7/30/2022,DET 18 - 33 CHI,7,12,0.97,0.82,0.9,0.82,0.43,0.79,0.93,18,33,0.647
Mechanix,7/31/2022,DET 9 - 28 MIN,40,8,0.79,0.31,0.3,0.21,0.09,0.09,0.5,9,28,0.243
Wind Chill,7/31/2022,DET 9 - 28 MIN,23,17,0.93,0.44,0.91,0.48,0.64,0.6,0.75,9,28,0.757
AlleyCats,8/13/2022,IND 18 - 20 MIN,15,4,0.94,0.55,0.68,0.6,0.15,0.33,0.79,18,20,0.474
Breeze,8/13/2022,PHI 18 - 23 DC,8,9,0.97,0.5,0.9,0.75,0.2,0.63,0.9,18,23,0.561
Growlers,8/13/2022,SD 16 - 19 SLC,28,10,0.9,0.38,0.48,0.29,0.33,0.6,0.58,16,19,0.457
Phoenix,8/13/2022,PHI 18 - 23 DC,14,4,0.94,0.69,0.68,0.61,0.05,0.2,0.77,18,23,0.439
Shred,8/13/2022,SD 16 - 19 SLC,25,17,0.89,0.62,0.56,0.48,0.43,0.38,0.8,16,19,0.543
Wind Chill,8/13/2022,IND 18 - 20 MIN,11,4,0.96,0.67,0.68,0.62,0.32,0.7,0.81,18,20,0.526
Breeze,8/20/2022,DC 18 - 19 NY,13,9,0.95,0.75,0.75,0.68,0.16,0.33,0.92,18,19,0.486
Empire,8/20/2022,DC 18 - 19 NY,12,6,0.96,0.5,0.79,0.6,0.2,0.67,0.76,18,19,0.514
Flyers,8/20/2022,ATX 20 - 22 CAR,12,6,0.95,0.6,0.77,0.63,0.21,0.63,0.84,20,22,0.524
Shred,8/20/2022,SLC 21 - 26 COL,16,5,0.95,0.57,0.64,0.55,0.14,0.6,0.9,21,26,0.447
Sol,8/20/2022,ATX 20 - 22 CAR,14,10,0.95,0.71,0.71,0.65,0.14,0.38,0.79,20,22,0.476
Summit,8/20/2022,SLC 21 - 26 COL,11,6,0.96,0.71,0.77,0.71,0.32,0.64,0.89,21,26,0.553
Union,8/21/2022,MIN 16 - 21 CHI,18,15,0.94,0.36,0.76,0.68,0.36,0.38,0.86,16,21,0.568
Wind Chill,8/21/2022,MIN 16 - 21 CHI,23,8,0.91,0.47,0.59,0.39,0.18,0.6,0.67,16,21,0.432
Empire,8/26/2022,CAR 16 - 22 NY,11,8,0.96,0.5,0.83,0.68,0.3,0.58,0.85,16,22,0.579
Flyers,8/26/2022,CAR 16 - 22 NY,17,6,0.93,0.63,0.65,0.54,0.06,0.2,0.58,16,22,0.421
Summit,8/26/2022,CHI 19 - 14 COL,19,7,0.92,0.5,0.52,0.42,0.19,0.43,0.6,19,14,0.424
Union,8/26/2022,CHI 19 - 14 COL,14,7,0.96,0.71,0.69,0.55,0.38,0.57,0.83,19,14,0.576
Empire,8/27/2022,CHI 14 - 22 NY,8,9,0.97,0.75,0.88,0.74,0.35,0.67,0.83,14,22,0.611
Union,8/27/2022,CHI 14 - 22 NY,17,4,0.92,0.5,0.52,0.46,0.13,0.4,0.75,14,22,0.389
Cascades,4/28/2023,SEA 20 - 28 SLC,26,11,0.9,0.36,0.52,0.38,0.18,0.67,0.69,20,28,0.417
Shred,4/28/2023,SEA 20 - 28 SLC,18,13,0.94,0.69,0.77,0.71,0.38,0.48,0.79,20,28,0.583
AlleyCats,4/29/2023,IND 14 - 23 ATL,18,6,0.93,0.5,0.52,0.46,0.06,0.25,0.67,14,23,0.378
Breeze,4/29/2023,DC 21 - 16 CAR,15,14,0.95,0.43,0.76,0.57,0.36,0.57,0.94,21,16,0.568
Cascades,4/29/2023,SEA 23 - 24 OAK,23,10,0.91,0.14,0.74,0.54,0.12,0.3,0.85,23,24,0.489
Empire,4/29/2023,PHI 8 - 17 NY,20,13,0.94,0.71,0.6,0.4,0.61,0.5,0.74,8,17,0.68
Flyers,4/29/2023,DC 21 - 16 CAR,20,9,0.91,1.0,0.59,0.48,0.18,0.33,0.62,21,16,0.432
Havoc,4/29/2023,ATX 24 - 18 HTX,29,9,0.89,0.54,0.56,0.42,0.2,0.29,0.71,24,18,0.429
Hustle,4/29/2023,IND 14 - 23 ATL,7,15,0.98,0.83,0.88,0.74,0.36,0.69,0.94,14,23,0.622
Phoenix,4/29/2023,PHI 8 - 17 NY,28,9,0.87,0.44,0.28,0.17,0.3,0.38,0.8,8,17,0.32
Radicals,4/29/2023,MAD 17 - 18 PIT,15,8,0.94,0.45,0.72,0.59,0.21,0.4,0.75,17,18,0.486
Sol,4/29/2023,ATX 24 - 18 HTX,22,15,0.91,0.64,0.7,0.5,0.4,0.53,0.74,24,18,0.571
Spiders,4/29/2023,SEA 23 - 24 OAK,22,13,0.94,0.5,0.8,0.63,0.15,0.27,0.73,23,24,0.511
Thunderbirds,4/29/2023,MAD 17 - 18 PIT,15,8,0.94,0.71,0.74,0.56,0.22,0.5,1.0,17,18,0.514
Empire,5/5/2023,TOR 11 - 24 NY,15,16,0.94,0.57,0.92,0.67,0.48,0.57,0.88,11,24,0.686
Flyers,5/5/2023,CAR 19 - 24 ATL,18,1,0.92,0.75,0.68,0.57,0.1,0.29,0.69,19,24,0.442
Growlers,5/5/2023,COL 23 - 16 SD,25,7,0.91,0.5,0.52,0.38,0.17,0.5,0.71,23,16,0.41
Hustle,5/5/2023,CAR 19 - 24 ATL,12,9,0.95,0.77,0.81,0.65,0.24,0.55,0.88,19,24,0.558
Nitro,5/5/2023,SLC 22 - 20 POR,17,5,0.94,0.64,0.63,0.52,0.23,0.63,0.81,22,20,0.476
Rush,5/5/2023,TOR 11 - 24 NY,26,9,0.9,0.5,0.4,0.29,0.08,0.17,0.78,11,24,0.314
Shred,5/5/2023,SLC 22 - 20 POR,13,12,0.96,0.71,0.75,0.68,0.29,0.54,0.87,22,20,0.524
Summit,5/5/2023,COL 23 - 16 SD,16,14,0.94,0.64,0.67,0.6,0.44,0.52,0.85,23,16,0.59
AlleyCats,5/6/2023,MIN 23 - 21 IND,12,5,0.96,1.0,0.68,0.61,0.18,0.67,0.8,23,21,0.477
Aviators,5/6/2023,COL 18 - 15 LA,29,7,0.89,0.4,0.45,0.33,0.35,0.35,0.71,18,15,0.455
Cascades,5/6/2023,SLC 25 - 19 SEA,20,7,0.94,1.0,0.52,0.47,0.28,0.63,0.78,25,19,0.432
Glory,5/6/2023,TOR 14 - 25 BOS,19,17,0.92,0.58,0.87,0.54,0.42,0.55,0.89,14,25,0.641
Legion,5/6/2023,DAL 17 - 31 ATX,31,8,0.89,0.5,0.33,0.3,0.32,0.55,0.73,17,31,0.354
Rush,5/6/2023,TOR 14 - 25 BOS,30,10,0.9,0.56,0.5,0.38,0.07,0.09,0.71,14,25,0.359
Shred,5/6/2023,SLC 25 - 19 SEA,12,10,0.96,0.63,0.67,0.57,0.48,0.76,1.0,25,19,0.568
Sol,5/6/2023,DAL 17 - 31 ATX,16,14,0.93,0.79,0.63,0.5,0.58,0.79,0.9,17,31,0.646
Summit,5/6/2023,COL 18 - 15 LA,26,17,0.89,0.4,0.53,0.32,0.45,0.53,0.82,18,15,0.545
Wind Chill,5/6/2023,MIN 23 - 21 IND,10,10,0.96,0.77,0.73,0.67,0.28,0.7,0.76,23,21,0.523
Breeze,5/7/2023,PHI 19 - 20 DC,18,12,0.94,0.36,0.45,0.38,0.5,0.73,1.0,19,20,0.513
Phoenix,5/7/2023,PHI 19 - 20 DC,19,12,0.93,0.57,0.41,0.36,0.45,0.69,0.79,19,20,0.487
Aviators,5/12/2023,POR 13 - 20 LA,15,7,0.95,0.75,0.8,0.63,0.36,0.44,0.77,13,20,0.606
Hustle,5/12/2023,ATX 17 - 21 ATL,12,7,0.95,0.71,0.68,0.59,0.35,0.62,0.79,17,21,0.553
Nitro,5/12/2023,POR 13 - 20 LA,22,9,0.92,0.38,0.45,0.33,0.2,0.43,0.59,13,20,0.394
Sol,5/12/2023,ATX 17 - 21 ATL,17,8,0.93,0.89,0.52,0.44,0.26,0.63,0.76,17,21,0.447
AlleyCats,5/13/2023,IND 19 - 16 CHI,20,11,0.93,0.57,0.61,0.46,0.33,0.47,0.82,19,16,0.543
