Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
Thunderbirds,6/18/2021,NY 24 - 19 PIT,92% (297/323),40% (4/10),64% (16/25),47% (16/34),14% (3/21),27% (3/11),94% (15/16),26,9,0.92,0.40,0.64,0.47,0.14,0.27,0.94,24,19,0.442
Wind Chill,6/18/2021,MAD 19 - 25 MIN,95% (314/330),60% (9/15),81% (17/21),65% (17/26),31% (8/26),50% (8/16),89% (17/19),16,13,0.95,0.60,0.81,0.65,0.31,0.50,0.89,19,25,0.568
Aviators,6/19/2021,LA 20 - 22 AUS,89% (233/261),86% (12/14),64% (16/25),48% (16/33),19% (4/21),25% (4/16),38% (3/8),28,6,0.89,0.86,0.64,0.48,0.19,0.25,0.38,20,22,0.476
Cannons,6/19/2021,ATL 24 - 13 TB,89% (255/288),38% (5/13),40% (10/25),26% (10/39),20% (3/15),43% (3/7),73% (8/11),33,6,0.89,0.38,0.40,0.26,0.20,0.43,0.73,24,13,0.351
Flyers,6/19/2021,BOS 24 - 27 RAL,95% (246/260),75% (9/12),83% (20/24),77% (20/26),24% (7/29),47% (7/15),95% (18/19),14,12,0.95,0.75,0.83,0.77,0.24,0.47,0.95,24,27,0.529
Glory,6/19/2021,BOS 24 - 27 RAL,93% (252/270),55% (6/11),72% (21/29),57% (21/37),13% (3/24),60% (3/5),82% (14/17),18,8,0.93,0.55,0.72,0.57,0.13,0.60,0.82,24,27,0.471
Hustle,6/19/2021,ATL 24 - 13 TB,91% (206/227),63% (12/19),73% (11/15),58% (11/19),52% (13/25),48% (13/27),75% (12/16),21,14,0.91,0.63,0.73,0.58,0.52,0.48,0.75,24,13,0.649
Mechanix,6/19/2021,CHI 30 - 13 DET,90% (256/285),64% (7/11),41% (13/32),30% (13/43),0% (0/15),0% (0/1),57% (4/7),29,6,0.90,0.64,0.41,0.30,0.00,0.00,0.57,30,13,0.302
Phoenix,6/19/2021,PIT 18 - 27 PHI,93% (269/289),78% (14/18),90% (18/20),72% (18/25),32% (9/28),39% (9/23),74% (14/19),20,15,0.93,0.78,0.90,0.72,0.32,0.39,0.74,18,27,0.6
Sol,6/19/2021,LA 20 - 22 AUS,93% (332/357),33% (3/9),76% (16/21),48% (16/33),25% (6/24),43% (6/14),60% (15/25),25,18,0.93,0.33,0.76,0.48,0.25,0.43,0.60,20,22,0.524
