Team,Date,Score,Completion %,Huck %,Hold %,OLC %,Break %,DLC %,RZC %,Turnovers,Blocks,Completion%,Huck %,Hold %,OLC%,Break %,DLC %,RZC %,Away Score,Home Score,Points/Total
Phoenix,8/21/2021,BOS 22 - 19 PHI,92% (208/227),67% (8/12),71% (17/24),59% (17/29),10% (2/20),20% (2/10),64% (7/11),19,5,0.92,0.67,0.71,0.59,0.10,0.20,0.64,22,19,0.463
Royal,8/21/2021,TOR 23 - 25 MTL,93% (220/237),81% (13/16),67% (16/24),55% (16/29),33% (9/27),69% (9/13),94% (16/17),17,13,0.93,0.81,0.67,0.55,0.33,0.69,0.94,23,25,0.521
Rush,8/21/2021,TOR 23 - 25 MTL,91% (204/224),86% (6/7),59% (16/27),52% (16/31),29% (7/24),58% (7/12),94% (17/18),20,8,0.91,0.86,0.59,0.52,0.29,0.58,0.94,23,25,0.479
Spiders,8/21/2021,SJ 20 - 21 LA,92% (249/272),100% (4/4),61% (14/23),50% (14/28),27% (6/22),40% (6/15),79% (15/19),23,4,0.92,1.00,0.61,0.50,0.27,0.40,0.79,20,21,0.512
Thunderbirds,8/21/2021,ATL 26 - 25 PIT,94% (291/308),75% (15/20),64% (18/28),51% (18/35),25% (7/28),88% (7/8),88% (14/16),17,11,0.94,0.75,0.64,0.51,0.25,0.88,0.88,26,25,0.49
Union,8/21/2021,CHI 29 - 19 DET,92% (214/232),62% (13/21),86% (18/21),62% (18/29),35% (11/31),61% (11/18),83% (15/18),18,16,0.92,0.62,0.86,0.62,0.35,0.61,0.83,29,19,0.604
Outlaws,8/22/2021,MTL 24 - 25 OTT,93% (222/239),62% (8/13),71% (17/24),65% (17/26),30% (8/27),47% (8/17),87% (13/15),17,10,0.93,0.62,0.71,0.65,0.30,0.47,0.87,24,25,0.51
Radicals,8/22/2021,MAD 15 - 19 MIN,90% (258/286),60% (6/10),43% (9/21),33% (9/27),38% (6/16),38% (6/16),65% (11/17),28,10,0.90,0.60,0.43,0.33,0.38,0.38,0.65,15,19,0.441
Royal,8/22/2021,MTL 24 - 25 OTT,90% (183/203),70% (16/23),67% (18/27),50% (18/36),25% (6/24),67% (6/9),86% (6/7),20,6,0.90,0.70,0.67,0.50,0.25,0.67,0.86,24,25,0.49
Wind Chill,8/22/2021,MAD 15 - 19 MIN,92% (259/282),70% (7/10),63% (10/16),38% (10/26),43% (9/21),56% (9/16),79% (11/14),23,13,0.92,0.70,0.63,0.38,0.43,0.56,0.79,15,19,0.559
Growlers,8/28/2021,DAL 18 - 22 SD,96% (235/245),78% (7/9),75% (15/20),71% (15/21),29% (7/24),54% (7/13),93% (14/15),10,11,0.96,0.78,0.75,0.71,0.29,0.54,0.93,18,22,0.55
Legion,8/28/2021,DAL 18 - 22 SD,94% (239/255),50% (5/10),63% (15/24),52% (15/29),15% (3/20),60% (3/5),71% (12/17),16,5,0.94,0.50,0.63,0.52,0.15,0.60,0.71,18,22,0.45
Outlaws,8/28/2021,OTT 13 - 22 TOR,85% (165/194),60% (6/10),48% (11/23),32% (11/34),13% (2/15),25% (2/8),62% (8/13),29,13,0.85,0.60,0.48,0.32,0.13,0.25,0.62,13,22,0.371
Rush,8/28/2021,OTT 13 - 22 TOR,92% (243/263),100% (12/12),87% (13/15),62% (13/21),39% (9/23),41% (9/22),75% (15/20),20,16,0.92,1.00,0.87,0.62,0.39,0.41,0.75,13,22,0.629
Breeze,8/29/2021,DC 28 - 16 TB,94% (254/269),60% (9/15),94% (16/17),80% (16/20),40% (12/30),48% (12/25),89% (16/18),15,19,0.94,0.60,0.94,0.80,0.40,0.48,0.89,28,16,0.636
Cannons,8/29/2021,DC 28 - 16 TB,89% (254/284),50% (8/16),50% (15/30),36% (15/42),6% (1/17),25% (1/4),77% (10/13),30,10,0.89,0.50,0.50,0.36,0.06,0.25,0.77,28,16,0.364
Empire,8/29/2021,NY 18 - 17 BOS,94% (264/281),50% (4/8),79% (15/19),54% (15/28),15% (3/20),43% (3/7),60% (12/20),17,12,0.94,0.50,0.79,0.54,0.15,0.43,0.60,18,17,0.514
Glory,8/29/2021,NY 18 - 17 BOS,92% (225/244),54% (7/13),75% (15/20),63% (15/24),11% (2/19),17% (2/12),68% (13/19),19,12,0.92,0.54,0.75,0.63,0.11,0.17,0.68,18,17,0.486
Royal,8/29/2021,MTL 25 - 18 TOR,91% (198/218),63% (10/16),89% (17/19),57% (17/30),30% (8/27),50% (8/16),84% (16/19),20,13,0.91,0.63,0.89,0.57,0.30,0.50,0.84,25,18,0.581
Rush,8/29/2021,MTL 25 - 18 TOR,86% (169/197),89% (8/9),63% (17/27),49% (17/35),5% (1/19),8% (1/12),75% (9/12),28,13,0.86,0.89,0.63,0.49,0.05,0.08,0.75,25,18,0.419
Union,8/29/2021,MIN 19 - 21 CHI,94% (239/254),64% (7/11),76% (16/21),64% (16/25),22% (5/23),42% (5/12),88% (14/16),15,10,0.94,0.64,0.76,0.64,0.22,0.42,0.88,19,21,0.525
Wind Chill,8/29/2021,MIN 19 - 21 CHI,94% (281/299),71% (10/14),65% (15/23),52% (15/29),19% (4/21),50% (4/8),81% (13/16),18,11,0.94,0.71,0.65,0.52,0.19,0.50,0.81,19,21,0.475
Breeze,9/3/2021,RAL 19 - 16 DC,95% (264/279),54% (7/13),62% (13/21),57% (13/23),18% (3/17),38% (3/8),73% (8/11),15,4,0.95,0.54,0.62,0.57,0.18,0.38,0.73,19,16,0.457
Flyers,9/3/2021,RAL 19 - 16 DC,96% (256/266),62% (8/13),76% (13/17),62% (13/21),29% (6/21),67% (6/9),86% (12/14),10,12,0.96,0.62,0.76,0.62,0.29,0.67,0.86,19,16,0.457
Empire,9/4/2021,ATL 21 - 22 NY,96% (300/313),57% (4/7),74% (17/23),71% (17/24),21% (5/24),45% (5/11),75% (18/24),13,8,0.96,0.57,0.74,0.71,0.21,0.45,0.75,21,22,0.512
Hustle,9/4/2021,ATL 21 - 22 NY,95% (246/258),71% (10/14),67% (16/24),57% (16/28),22% (5/23),71% (5/7),67% (6/9),12,4,0.95,0.71,0.67,0.57,0.22,0.71,0.67,21,22,0.488
Outlaws,9/4/2021,TOR 24 - 22 OTT,93% (230/246),67% (14/21),68% (17/25),63% (17/27),21% (5/24),45% (5/11),80% (8/10),16,8,0.93,0.67,0.68,0.63,0.21,0.45,0.80,24,22,0.478
Rush,9/4/2021,TOR 24 - 22 OTT,93% (201/215),100% (16/16),71% (17/24),57% (17/30),28% (7/25),70% (7/10),78% (7/9),14,9,0.93,1.00,0.71,0.57,0.28,0.70,0.78,24,22,0.522
Royal,9/9/2021,TOR 18 - 19 MTL,94% (218/231),64% (9/14),75% (15/20),56% (15/27),19% (4/21),67% (4/6),78% (14/18),13,7,0.94,0.64,0.75,0.56,0.19,0.67,0.78,18,19,0.514
Rush,9/9/2021,TOR 18 - 19 MTL,94% (235/250),100% (7/7),67% (14/21),64% (14/22),20% (4/20),36% (4/11),87% (13/15),15,9,0.94,1.00,0.67,0.64,0.20,0.36,0.87,18,19,0.486
Empire,9/10/2021,SD 18 - 22 NY,95% (258/273),55% (6/11),70% (14/20),50% (14/28),35% (8/23),80% (8/10),89% (17/19),15,15,0.95,0.55,0.70,0.50,0.35,0.80,0.89,18,22,0.55
Flyers,9/10/2021,RAL 21 - 20 CHI,95% (326/343),50% (7/14),78% (18/23),58% (18/31),13% (3/23),43% (3/7),70% (14/20),17,9,0.95,0.50,0.78,0.58,0.13,0.43,0.70,21,20,0.488
Growlers,9/10/2021,SD 18 - 22 NY,94% (286/305),56% (5/9),57% (13/23),54% (13/24),25% (5/20),38% (5/13),93% (14/15),19,9,0.94,0.56,0.57,0.54,0.25,0.38,0.93,18,22,0.45
Union,9/10/2021,RAL 21 - 20 CHI,94% (265/282),33% (4/12),74% (17/23),65% (17/26),13% (3/23),27% (3/11),100% (12/12),17,12,0.94,0.33,0.74,0.65,0.13,0.27,1.00,21,20,0.488
Empire,9/11/2021,RAL 19 - 16 NY,96% (260/270),40% (2/5),71% (15/21),63% (15/24),6% (1/18),50% (1/2),81% (13/16),10,4,0.96,0.40,0.71,0.63,0.06,0.50,0.81,19,16,0.457
Flyers,9/11/2021,RAL 19 - 16 NY,98% (298/305),71% (5/7),83% (15/18),79% (15/19),19% (4/21),50% (4/8),93% (13/14),7,5,0.98,0.71,0.83,0.79,0.19,0.50,0.93,19,16,0.457
Flyers,4/29/2022,ATL 14 - 16 CAR,95% (211/221),55% (6/11),69% (11/16),61% (11/18),22% (4/18),50% (4/8),92% (12/13),10,7,0.95,0.55,0.69,0.61,0.22,0.50,0.92,14,16,0.533
Growlers,4/29/2022,SLC 24 - 22 SD,93% (218/234),67% (10/15),73% (19/26),58% (19/33),13% (3/23),60% (3/5),69% (11/16),16,9,0.93,0.67,0.73,0.58,0.13,0.60,0.69,24,22,0.478
Hustle,4/29/2022,ATL 14 - 16 CAR,96% (272/283),78% (7/9),67% (12/18),57% (12/21),13% (2/16),33% (2/6),75% (6/8),11,4,0.96,0.78,0.67,0.57,0.13,0.33,0.75,14,16,0.467
Shred,4/29/2022,SLC 24 - 22 SD,95% (272/287),70% (7/10),78% (18/23),69% (18/26),23% (6/26),43% (6/14),76% (13/17),15,10,0.95,0.70,0.78,0.69,0.23,0.43,0.76,24,22,0.522
Aviators,4/30/2022,SLC 25 - 22 LA,91% (210/231),58% (7/12),64% (16/25),52% (16/31),21% (5/24),45% (5/11),92% (12/13),21,8,0.91,0.58,0.64,0.52,0.21,0.45,0.92,25,22,0.468
Breeze,4/30/2022,NY 22 - 19 DC,96% (252/262),100% (5/5),65% (15/23),60% (15/25),15% (3/20),75% (3/4),76% (13/17),10,5,0.96,1.00,0.65,0.60,0.15,0.75,0.76,22,19,0.463
Cannons,4/30/2022,TB 12 - 24 ATL,93% (265/285),40% (6/15),40% (10/25),36% (10/28),14% (2/14),50% (2/4),67% (8/12),20,3,0.93,0.40,0.40,0.36,0.14,0.50,0.67,12,24,0.333
Empire,4/30/2022,NY 22 - 19 DC,97% (263/271),86% (6/7),85% (17/20),81% (17/21),22% (5/23),56% (5/9),94% (17/18),8,6,0.97,0.86,0.85,0.81,0.22,0.56,0.94,22,19,0.537
Glory,4/30/2022,PHI 24 - 25 BOS,96% (245/256),75% (12/16),83% (20/24),80% (20/25),19% (5/27),42% (5/12),89% (16/18),11,6,0.96,0.75,0.83,0.80,0.19,0.42,0.89,24,25,0.51
Hustle,4/30/2022,TB 12 - 24 ATL,97% (201/208),100% (11/11),71% (10/14),63% (10/16),56% (14/25),78% (14/18),89% (16/18),7,12,0.97,1.00,0.71,0.63,0.56,0.78,0.89,12,24,0.667
Legion,4/30/2022,ATX 20 - 17 DAL,90% (192/213),47% (7/15),68% (15/22),47% (15/32),11% (2/19),33% (2/6),80% (8/10),21,10,0.90,0.47,0.68,0.47,0.11,0.33,0.80,20,17,0.459
Mechanix,4/30/2022,PIT 17 - 13 DET,84% (170/202),60% (3/5),61% (11/18),32% (11/34),13% (2/15),18% (2/11),83% (10/12),32,10,0.84,0.60,0.61,0.32,0.13,0.18,0.83,17,13,0.433
Phoenix,4/30/2022,PHI 24 - 25 BOS,96% (280/293),92% (11/12),78% (21/27),64% (21/33),13% (3/24),75% (3/4),87% (13/15),13,10,0.96,0.92,0.78,0.64,0.13,0.75,0.87,24,25,0.49
Royal,4/30/2022,MTL 26 - 19 TOR,94% (220/233),75% (12/16),76% (16/21),57% (16/28),36% (10/28),83% (10/12),87% (13/15),13,14,0.94,0.75,0.76,0.57,0.36,0.83,0.87,26,19,0.578
Rush,4/30/2022,MTL 26 - 19 TOR,92% (220/239),60% (6/10),57% (16/28),55% (16/29),10% (2/21),20% (2/10),69% (9/13),19,10,0.92,0.60,0.57,0.55,0.10,0.20,0.69,26,19,0.422
Shred,4/30/2022,SLC 25 - 22 LA,95% (348/366),71% (10/14),75% (18/24),60% (18/30),28% (7/25),50% (7/14),71% (17/24),18,9,0.95,0.71,0.75,0.60,0.28,0.50,0.71,25,22,0.532
Sol,4/30/2022,ATX 20 - 17 DAL,93% (250/268),55% (6/11),74% (14/19),61% (14/23),27% (6/22),38% (6/16),93% (14/15),18,12,0.93,0.55,0.74,0.61,0.27,0.38,0.93,20,17,0.541
Thunderbirds,4/30/2022,PIT 17 - 13 DET,84% (153/183),36% (4/11),80% (12/15),50% (12/24),28% (5/18),22% (5/23),64% (9/14),30,13,0.84,0.36,0.80,0.50,0.28,0.22,0.64,17,13,0.567
Cascades,5/1/2022,SEA 24 - 29 POR,94% (317/337),59% (10/17),71% (22/31),61% (22/36),8% (2/25),25% (2/8),81% (13/16),20,13,0.94,0.59,0.71,0.61,0.08,0.25,0.81,24,29,0.453
Nitro,5/1/2022,SEA 24 - 29 POR,93% (191/206),69% (11/16),88% (22/25),71% (22/31),23% (7/31),54% (7/13),94% (16/17),15,11,0.93,0.69,0.88,0.71,0.23,0.54,0.94,24,29,0.547
Thunderbirds,5/1/2022,PIT 8 - 19 CHI,84% (202/241),27% (4/15),38% (8/21),21% (8/39),0% (0/10),0% (0/8),40% (4/10),39,14,0.84,0.27,0.38,0.21,0.00,0.00,0.40,8,19,0.296
Union,5/1/2022,PIT 8 - 19 CHI,88% (206/234),25% (3/12),80% (8/10),44% (8/18),52% (11/21),37% (11/30),67% (14/21),28,13,0.88,0.25,0.80,0.44,0.52,0.37,0.67,8,19,0.704
Glory,5/6/2022,BOS 19 - 21 OTT,87% (175/202),39% (7/18),71% (15/21),50% (15/30),19% (4/21),25% (4/16),71% (10/14),27,10,0.87,0.39,0.71,0.50,0.19,0.25,0.71,19,21,0.475
Outlaws,5/6/2022,BOS 19 - 21 OTT,90% (241/267),80% (8/10),71% (15/21),45% (15/33),29% (6/21),40% (6/15),73% (11/15),26,12,0.90,0.80,0.71,0.45,0.29,0.40,0.73,19,21,0.525
AlleyCats,5/7/2022,DET 22 - 33 IND,96% (218/228),90% (18/20),92% (22/24),79% (22/28),31% (11/35),69% (11/16),100% (15/15),10,17,0.96,0.90,0.92,0.79,0.31,0.69,1.00,22,33,0.6
Cannons,5/7/2022,CAR 19 - 13 TB,93% (275/297),63% (5/8),65% (13/20),50% (13/26),0% (0/15),0% (0/9),50% (8/16),22,10,0.93,0.63,0.65,0.50,0.00,0.00,0.50,19,13,0.406
Cascades,5/7/2022,COL 19 - 16 SEA,88% (211/241),42% (8/19),67% (14/21),41% (14/34),12% (2/17),17% (2/12),67% (10/15),30,15,0.88,0.42,0.67,0.41,0.12,0.17,0.67,19,16,0.457
Empire,5/7/2022,PHI 15 - 17 NY,91% (235/257),45% (5/11),82% (14/17),61% (14/23),17% (3/18),19% (3/16),80% (12/15),22,14,0.91,0.45,0.82,0.61,0.17,0.19,0.80,15,17,0.531
Flyers,5/7/2022,CAR 19 - 13 TB,92% (201/218),63% (10/16),93% (14/15),58% (14/24),25% (5/20),42% (5/12),85% (11/13),17,6,0.92,0.63,0.93,0.58,0.25,0.42,0.85,19,13,0.594
Glory,5/7/2022,BOS 17 - 21 MTL,88% (200/227),50% (10/20),57% (13/23),37% (13/35),21% (4/19),36% (4/11),68% (13/19),27,15,0.88,0.50,0.57,0.37,0.21,0.36,0.68,17,21,0.447
Growlers,5/7/2022,SD 18 - 16 OAK,87% (196/225),29% (2/7),78% (14/18),45% (14/31),20% (4/20),25% (4/16),82% (14/17),29,15,0.87,0.29,0.78,0.45,0.20,0.25,0.82,18,16,0.529
Mechanix,5/7/2022,DET 22 - 33 IND,93% (301/324),67% (10/15),60% (21/35),53% (21/40),4% (1/24),20% (1/5),83% (10/12),23,4,0.93,0.67,0.60,0.53,0.04,0.20,0.83,22,33,0.4
Phoenix,5/7/2022,PHI 15 - 17 NY,92% (253/276),45% (5/11),72% (13/18),43% (13/30),12% (2/17),25% (2/8),70% (7/10),23,11,0.92,0.45,0.72,0.43,0.12,0.25,0.70,15,17,0.469
Radicals,5/7/2022,PIT 16 - 18 MAD,91% (208/228),47% (8/17),67% (12/18),44% (12/27),30% (6/20),50% (6/12),77% (10/13),20,14,0.91,0.47,0.67,0.44,0.30,0.50,0.77,16,18,0.529
Royal,5/7/2022,BOS 17 - 21 MTL,90% (214/238),71% (10/14),74% (14/19),54% (14/26),30% (7/23),33% (7/21),68% (13/19),24,11,0.90,0.71,0.74,0.54,0.30,0.33,0.68,17,21,0.553
Spiders,5/7/2022,SD 18 - 16 OAK,87% (213/244),38% (5/13),65% (13/20),42% (13/31),17% (3/18),19% (3/16),77% (10/13),31,11,0.87,0.38,0.65,0.42,0.17,0.19,0.77,18,16,0.471
Summit,5/7/2022,COL 19 - 16 SEA,91% (248/273),50% (7/14),82% (14/17),54% (14/26),24% (5/21),28% (5/18),73% (11/15),25,13,0.91,0.50,0.82,0.54,0.24,0.28,0.73,19,16,0.543
Thunderbirds,5/7/2022,PIT 16 - 18 MAD,93% (278/300),30% (3/10),60% (12/20),48% (12/25),22% (4/18),31% (4/13),67% (10/15),22,12,0.93,0.30,0.60,0.48,0.22,0.31,0.67,16,18,0.471
Union,5/7/2022,CHI 24 - 21 MIN,92% (255/276),56% (5/9),77% (17/22),59% (17/29),28% (7/25),41% (7/17),83% (20/24),21,12,0.92,0.56,0.77,0.59,0.28,0.41,0.83,24,21,0.533
Wind Chill,5/7/2022,CHI 24 - 21 MIN,88% (182/207),67% (8/12),64% (16/25),47% (16/34),23% (5/22),42% (5/12),72% (13/18),25,10,0.88,0.67,0.64,0.47,0.23,0.42,0.72,24,21,0.467
Nitro,5/8/2022,COL 24 - 23 POR,91% (233/255),71% (15/21),76% (19/25),56% (19/34),16% (4/25),36% (4/11),64% (7/11),22,10,0.91,0.71,0.76,0.56,0.16,0.36,0.64,24,23,0.489
Summit,5/8/2022,COL 24 - 23 POR,94% (326/348),50% (9/18),72% (18/25),56% (18/32),24% (6/25),40% (6/15),72% (13/18),22,14,0.94,0.50,0.72,0.56,0.24,0.40,0.72,24,23,0.511
Cascades,5/13/2022,SEA 21 - 32 SLC,90% (253/280),60% (9/15),56% (19/34),48% (19/40),9% (2/23),25% (2/8),70% (16/23),27,8,0.90,0.60,0.56,0.48,0.09,0.25,0.70,21,32,0.396
Legion,5/13/2022,DAL 17 - 24 ATX,88% (189/214),59% (13/22),50% (13/26),37% (13/35),21% (4/19),57% (4/7),67% (4/6),25,8,0.88,0.59,0.50,0.37,0.21,0.57,0.67,17,24,0.415
Phoenix,5/13/2022,MTL 18 - 17 PHI,92% (275/298),60% (6/10),61% (11/18),41% (11/27),32% (6/19),50% (6/12),69% (11/16),23,14,0.92,0.60,0.61,0.41,0.32,0.50,0.69,18,17,0.486
Royal,5/13/2022,MTL 18 - 17 PHI,90% (202/225),44% (7/16),63% (12/19),48% (12/25),33% (6/18),38% (6/16),87% (13/15),23,14,0.90,0.44,0.63,0.48,0.33,0.38,0.87,18,17,0.514
Shred,5/13/2022,SEA 21 - 32 SLC,96% (338/352),75% (12/16),87% (20/23),71% (20/28),35% (12/34),67% (12/18),88% (22/25),14,12,0.96,0.75,0.87,0.71,0.35,0.67,0.88,21,32,0.604
Sol,5/13/2022,DAL 17 - 24 ATX,93% (263/282),45% (5/11),63% (12/19),55% (12/22),46% (12/26),57% (12/21),89% (16/18),19,14,0.93,0.45,0.63,0.55,0.46,0.57,0.89,17,24,0.585
AlleyCats,5/14/2022,MAD 23 - 22 IND,95% (262/277),69% (9/13),67% (16/24),53% (16/30),25% (6/24),86% (6/7),89% (8/9),15,5,0.95,0.69,0.67,0.53,0.25,0.86,0.89,23,22,0.489
Aviators,5/14/2022,LA 17 - 22 SD,90% (238/265),50% (6/12),63% (15/24),41% (15/37),11% (2/19),29% (2/7),56% (9/16),27,2,0.90,0.50,0.63,0.41,0.11,0.29,0.56,17,22,0.436
Breeze,5/14/2022,MTL 17 - 27 DC,96% (256/268),77% (10/13),89% (17/19),77% (17/22),34% (10/29),59% (10/17),89% (17/19),12,12,0.96,0.77,0.89,0.77,0.34,0.59,0.89,17,27,0.614
Cannons,5/14/2022,TB 18 - 24 CAR,93% (250/269),59% (10/17),54% (14/26),47% (14/30),20% (4/20),57% (4/7),75% (6/8),19,4,0.93,0.59,0.54,0.47,0.20,0.57,0.75,18,24,0.429
Empire,5/14/2022,NY 23 - 19 BOS,96% (288/301),60% (3/5),81% (17/21),68% (17/25),24% (6/25),50% (6/12),83% (19/23),13,10,0.96,0.60,0.81,0.68,0.24,0.50,0.83,23,19,0.548
Flyers,5/14/2022,TB 18 - 24 CAR,96% (259/270),67% (8/12),80% (16/20),70% (16/23),31% (8/26),62% (8/13),89% (17/19),11,9,0.96,0.67,0.80,0.70,0.31,0.62,0.89,18,24,0.571
Glory,5/14/2022,NY 23 - 19 BOS,92% (195/213),33% (4/12),64% (16/25),53% (16/30),14% (3/21),43% (3/7),82% (14/17),18,7,0.92,0.33,0.64,0.53,0.14,0.43,0.82,23,19,0.452
Growlers,5/14/2022,LA 17 - 22 SD,92% (231/251),67% (6/9),84% (16/19),67% (16/24),25% (6/24),32% (6/19),73% (16/22),20,15,0.92,0.67,0.84,0.67,0.25,0.32,0.73,17,22,0.564
Legion,5/14/2022,MIN 20 - 14 DAL,90% (233/260),59% (10/17),41% (9/22),30% (9/30),31% (5/16),42% (5/12),60% (6/10),27,10,0.90,0.59,0.41,0.30,0.31,0.42,0.60,20,14,0.412
Outlaws,5/14/2022,OTT 26 - 29 TOR,95% (249/261),63% (10/16),77% (23/30),68% (23/34),11% (3/27),60% (3/5),88% (14/16),12,6,0.95,0.63,0.77,0.68,0.11,0.60,0.88,26,29,0.473
Radicals,5/14/2022,MAD 23 - 22 IND,95% (284/299),46% (6/13),67% (16/24),64% (16/25),29% (7/24),50% (7/14),78% (14/18),15,6,0.95,0.46,0.67,0.64,0.29,0.50,0.78,23,22,0.511
Royal,5/14/2022,MTL 17 - 27 DC,92% (230/250),50% (4/8),55% (16/29),47% (16/34),5% (1/19),25% (1/4),75% (12/16),20,8,0.92,0.50,0.55,0.47,0.05,0.25,0.75,17,27,0.386
Rush,5/14/2022,OTT 26 - 29 TOR,96% (241/250),89% (16/18),89% (24/27),83% (24/29),17% (5/30),56% (5/9),87% (13/15),9,9,0.96,0.89,0.89,0.83,0.17,0.56,0.87,26,29,0.527
Wind Chill,5/14/2022,MIN 20 - 14 DAL,91% (201/221),36% (5/14),63% (10/16),45% (10/22),45% (10/22),53% (10/19),69% (11/16),20,15,0.91,0.36,0.63,0.45,0.45,0.53,0.69,20,14,0.588
Flyers,5/20/2022,ATX 24 - 27 CAR,94% (221/234),82% (14/17),77% (20/26),65% (20/31),21% (6/29),75% (6/8),89% (16/18),13,9,0.94,0.82,0.77,0.65,0.21,0.75,0.89,24,27,0.529
Glory,5/20/2022,TOR 13 - 23 BOS,95% (223/234),79% (11/14),80% (12/15),63% (12/19),44% (11/25),69% (11/16),87% (13/15),11,9,0.95,0.79,0.80,0.63,0.44,0.69,0.87,13,23,0.639
Phoenix,5/20/2022,PHI 19 - 13 MTL,89% (234/264),47% (9/19),80% (12/15),43% (12/28),39% (7/18),32% (7/22),58% (11/19),30,17,0.89,0.47,0.80,0.43,0.39,0.32,0.58,19,13,0.594
Royal,5/20/2022,PHI 19 - 13 MTL,86% (208/242),29% (2/7),61% (11/18),34% (11/32),13% (2/15),13% (2/15),64% (7/11),34,11,0.86,0.29,0.61,0.34,0.13,0.13,0.64,19,13,0.406
Rush,5/20/2022,TOR 13 - 23 BOS,93% (284/304),80% (4/5),44% (11/25),38% (11/29),13% (2/15),33% (2/6),50% (5/10),20,7,0.93,0.80,0.44,0.38,0.13,0.33,0.50,13,23,0.361
Sol,5/20/2022,ATX 24 - 27 CAR,94% (257/274),56% (5/9),66% (19/29),61% (19/31),19% (5/26),45% (5/11),94% (16/17),17,5,0.94,0.56,0.66,0.61,0.19,0.45,0.94,24,27,0.471
AlleyCats,5/21/2022,IND 20 - 16 PIT,94% (226/241),58% (7/12),78% (14/18),54% (14/26),27% (6/22),60% (6/10),88% (15/17),15,10,0.94,0.58,0.78,0.54,0.27,0.60,0.88,20,16,0.556
Cascades,5/21/2022,SEA 20 - 22 SD,90% (218/242),93% (13/14),71% (17/24),52% (17/33),14% (3/21),27% (3/11),71% (10/14),24,16,0.90,0.93,0.71,0.52,0.14,0.27,0.71,20,22,0.476
Empire,5/21/2022,TOR 17 - 31 NY,96% (254/264),88% (14/16),79% (15/19),75% (15/20),50% (16/32),70% (16/23),82% (14/17),10,17,0.96,0.88,0.79,0.75,0.50,0.70,0.82,17,31,0.646
Growlers,5/21/2022,SEA 20 - 22 SD,91% (212/232),100% (2/2),76% (16/21),55% (16/29),25% (6/24),38% (6/16),81% (17/21),20,17,0.91,1.00,0.76,0.55,0.25,0.38,0.81,20,22,0.524
Hustle,5/21/2022,ATX 21 - 26 ATL,96% (244/255),82% (14/17),86% (18/21),72% (18/25),30% (8/27),62% (8/13),82% (9/11),11,9,0.96,0.82,0.86,0.72,0.30,0.62,0.82,21,26,0.553
Mechanix,5/21/2022,MAD 27 - 18 DET,94% (339/362),56% (5/9),55% (16/29),50% (16/32),10% (2/20),22% (2/9),87% (13/15),23,8,0.94,0.56,0.55,0.50,0.10,0.22,0.87,27,18,0.4
Nitro,5/21/2022,POR 26 - 22 OAK,93% (232/250),77% (10/13),78% (18/23),67% (18/27),30% (8/27),44% (8/18),79% (15/19),18,13,0.93,0.77,0.78,0.67,0.30,0.44,0.79,26,22,0.542
Outlaws,5/21/2022,PHI 23 - 22 OTT,92% (215/234),50% (7/14),71% (17/24),61% (17/28),21% (5/24),38% (5/13),85% (11/13),19,12,0.92,0.50,0.71,0.61,0.21,0.38,0.85,23,22,0.489
Phoenix,5/21/2022,PHI 23 - 22 OTT,92% (230/250),73% (19/26),71% (17/24),53% (17/32),25% (6/24),55% (6/11),67% (12/18),20,11,0.92,0.73,0.71,0.53,0.25,0.55,0.67,23,22,0.511
Radicals,5/21/2022,MAD 27 - 18 DET,95% (218/230),100% (7/7),85% (17/20),65% (17/26),34% (10/29),77% (10/13),87% (13/15),12,14,0.95,1.00,0.85,0.65,0.34,0.77,0.87,27,18,0.6
Rush,5/21/2022,TOR 17 - 31 NY,90% (238/263),58% (7/12),44% (14/32),37% (14/38),16% (3/19),75% (3/4),79% (11/14),25,6,0.90,0.58,0.44,0.37,0.16,0.75,0.79,17,31,0.354
Sol,5/21/2022,ATX 21 - 26 ATL,94% (274/291),72% (13/18),70% (19/27),59% (19/32),10% (2/21),33% (2/6),82% (14/17),17,4,0.94,0.72,0.70,0.59,0.10,0.33,0.82,21,26,0.447
Spiders,5/21/2022,POR 26 - 22 OAK,92% (282/306),65% (11/17),63% (17/27),46% (17/37),22% (5/23),56% (5/9),61% (11/18),24,9,0.92,0.65,0.63,0.46,0.22,0.56,0.61,26,22,0.458
Thunderbirds,5/21/2022,IND 20 - 16 PIT,94% (313/332),29% (4/14),64% (14/22),56% (14/25),11% (2/18),20% (2/10),76% (13/17),19,6,0.94,0.29,0.64,0.56,0.11,0.20,0.76,20,16,0.444
Aviators,5/22/2022,SEA 18 - 19 LA,94% (245/260),50% (4/8),85% (17/20),68% (17/25),10% (2/20),22% (2/9),83% (15/18),15,6,0.94,0.50,0.85,0.68,0.10,0.22,0.83,18,19,0.514
Cascades,5/22/2022,SEA 18 - 19 LA,94% (254/270),100% (10/10),75% (15/20),58% (15/26),15% (3/20),38% (3/8),78% (7/9),16,7,0.94,1.00,0.75,0.58,0.15,0.38,0.78,18,19,0.486
Empire,5/27/2022,NY 22 - 18 MTL,95% (267/282),67% (6/9),70% (14/20),61% (14/23),33% (8/24),53% (8/15),93% (13/14),15,6,0.95,0.67,0.70,0.61,0.33,0.53,0.93,22,18,0.55
